#set div cal c14 c14sig calsig*
120 1 15062.7 12735 51 128
120 1 15062.7 12840 59 128
120 1 15159.4 12924 61 134
120 1 15159.4 12819 52 134
120 1 15254.0 13097 76 138
120 1 15347.0 13050 62 141
120 1 15438.3 13153 62 141
120 1 15528.4 13194 63 140
120 1 15617.2 13336 64 136
120 1 15704.9 13298 64 130
120 1 15791.8 13548 79 123
120 1 15791.8 13313 62 123
120 1 15791.8 13348 57 123
120 1 15877.9 13297 65 114
120 1 15877.9 13367 65 114
120 1 15877.9 13412 57 114
120 1 16132.6 13432 61 85
120 1 16216.7 13388 63 79
120 1 16300.3 13514 57 76
120 1 16300.3 13694 93 76
120 1 16382.9 13488 62 77
120 1 16464.4 13537 52 80
120 1 16464.4 13752 76 80
120 1 16544.4 13384 68 85
120 1 16699.9 13646 67 93
120 1 16848.7 13645 59 96
120 1 16920.4 13702 78 95
120 1 16920.4 13672 50 95
120 1 16990.0 13689 58 94
120 1 17122.6 13801 57 92
120 1 17185.4 13886 72 93
120 1 17185.4 13891 50 93
120 1 17246.0 13916 47 96
120 1 17246.0 13951 72 96
120 1 17305.1 14226 49 100
120 1 17305.1 14226 49 100
120 1 17305.1 14376 76 100
120 1 17363.0 13979 45 103
120 1 17363.0 14099 45 103
120 1 17420.2 14344 48 104
120 1 17477.1 14422 44 105
120 1 17534.2 14249 79 104
120 1 17534.2 14509 47 104
120 1 17591.7 14477 43 102
120 1 17650.2 14583 92 100
120 1 17650.2 14413 42 100
120 1 17710.1 14369 45 99
120 1 17771.8 14599 41 100
120 1 17835.6 14553 52 103
120 1 17835.6 14708 45 103
120 1 17835.6 14793 68 103
120 1 17901.7 14712 47 108
120 1 17970.2 14841 55 112
120 1 17970.2 14741 43 112
120 1 18041.4 15323 40 115
120 1 18115.4 15245 42 117
120 1 18115.4 15360 42 117
120 1 18192.4 15371 42 118
120 1 18272.6 14926 80 117
120 1 18272.6 15096 41 117
120 1 18356.4 15002 41 114
120 1 18443.8 15498 99 110
120 1 18443.8 15313 49 110
120 1 18443.8 15393 38 110
120 1 18535.3 15425 40 106
120 1 18670.7 15746 48 101
120 1 18670.7 15616 56 101
120 1 18670.7 15686 56 101
120 1 18836.9 15821 39 101
120 1 18836.9 15796 74 101
120 1 18947.0 16035 35 106
120 1 19061.2 15995 33 111
120 1 19061.2 16125 98 111
120 1 19179.0 16108 37 118
120 1 19299.7 16012 46 123
120 1 19299.7 16232 41 123
120 1 19422.9 16288 45 128
120 1 19547.9 16407 92 131
120 1 19547.9 16452 33 131
120 1 19674.2 16309 41 131
120 1 19801.4 16384 55 130
120 1 19801.4 16424 55 130
120 1 19928.9 16621 93 127
120 1 19928.9 16511 37 127
120 1 20056.1 16591 41 123
120 1 20182.6 16715 33 118
120 1 20182.6 16795 88 118
120 1 20307.9 16765 41 113
120 1 20431.3 16836 41 109
120 1 20431.3 16726 83 109
120 1 20552.4 17054 41 109
120 1 20670.7 17132 34 113
120 1 20670.7 17312 93 113
120 1 20786.2 17176 42 121
120 1 20899.0 17540 42 132
120 1 20899.0 17480 46 132
120 1 21009.5 17398 64 144
120 1 21009.5 17538 55 144
120 1 21117.7 17567 42 156
120 1 21117.7 17642 51 156
120 1 21223.9 17560 42 168
120 1 21223.9 17495 42 168
120 1 21328.3 17831 46 179
120 1 21328.3 17881 42 179
120 1 21430.9 17749 38 189
120 1 21532.0 17704 112 197
120 1 21631.6 17910 42 203
120 1 21730.0 17845 93 208
120 1 21827.1 18048 47 211
120 1 21923.3 18181 47 212
120 1 22018.4 18172 84 211
120 1 22018.4 18302 55 211
120 1 22112.7 18338 42 209
120 1 22206.3 18502 83 205
120 1 22299.2 18630 46 200
120 1 22391.5 18817 51 193
120 1 22483.4 18812 103 186
120 1 22574.8 18597 47 178
120 1 22665.9 18650 65 171
120 1 22665.9 18760 47 171
120 1 22756.8 18860 47 165
120 1 22756.8 18930 47 165
120 1 22847.5 18705 43 160
120 1 22847.5 18660 47 160
120 1 22938.1 19116 51 159
120 1 22938.1 19216 56 159
120 1 22938.1 19096 47 159
120 1 23028.6 19188 48 160
120 1 23028.6 19413 103 160
120 1 23119.0 19252 44 162
120 1 23209.4 19500 114 166
120 1 23209.4 19430 49 166
120 1 23299.5 19301 50 171
120 1 23389.5 19531 96 174
120 1 23479.3 19614 52 177
120 1 23568.8 19257 53 179
120 1 23568.8 19317 57 179
120 1 23658.0 19838 58 180
120 1 23747.0 19978 103 178
120 1 23835.6 20022 72 175
120 1 23835.6 20112 72 175
120 1 23923.8 20245 136 170
120 1 23923.8 20045 65 170
120 1 24011.6 20038 55 164
120 1 24099.0 20009 105 156
120 1 24099.0 20119 67 156
120 1 24185.8 20426 58 147
120 1 24185.8 20511 61 147
120 1 24272.1 20401 62 138
120 1 24272.1 20371 110 138
120 1 24357.9 20196 60 128
120 1 24357.9 20191 77 128
120 1 24443.0 20402 60 119
120 1 24443.0 20532 107 119
120 1 24527.4 20407 67 111
120 1 24611.2 20456 61 107
120 1 24694.2 20580 78 105
120 1 24776.6 20656 63 106
120 1 24858.6 20651 66 107
120 1 24940.2 20836 62 108
120 1 24940.2 20751 84 108
120 1 25021.5 20717 68 108
120 1 25021.5 20962 92 108
120 1 25102.7 21084 110 107
120 1 25102.7 21194 75 107
120 1 25183.9 21326 66 106
120 1 25183.9 21146 59 106
120 1 25183.9 21146 74 106
120 1 25265.1 21213 65 105
120 1 25265.1 21163 58 105
120 1 25346.6 21117 57 106
120 1 25346.6 21222 127 106
120 1 25428.3 21256 63 110
120 1 25510.5 21382 80 117
120 1 25593.0 21414 54 126
120 1 25676.1 21393 57 137
120 1 25676.1 21348 69 137
120 1 25759.5 21638 52 148
120 1 25843.5 21594 56 159
120 1 25927.9 22112 125 169
120 1 25927.9 22092 56 169
120 1 26012.8 21961 53 178
120 1 26098.3 22031 57 186
120 1 26098.3 21871 125 186
120 1 26184.4 21788 54 192
